Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia;Peru;México;República Dominicana;Sérvia;Colômbia;Argentina;Emirados Arabes;Panama;Argéria;Singapura;Croácia;Catar;Ucrânia;Eslovenia;Hungria;Estônia;Iraque;Nova Zelândia;Moldávia;Marrocos;Egito;Bielorrússia
31;2234;6820;111;9387;3030;775;2443;942;1124;433;2926;1175;1143;186;32;401;470;237;339;20;57;NA;129;29;73;NA;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA;49;83;246;6;NA;NA;NA;NA;NA;NA;16;NA;NA;0;NA;6;NA;50;NA;NA;65;NA;NA;NA;118;NA
32;2378;7503;111;10348;3532;920;2445;1209;1223;488;3611;1341;1283;204;39;477;504;247;375;24;61;NA;138;29;86;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;NA;NA;NA;56;87;288;6;NA;NA;NA;NA;NA;NA;20;NA;NA;0;NA;7;NA;53;NA;NA;69;NA;NA;NA;135;NA
33;2517;8215;120;11198;4043;1107;2595;1581;NA;536;4320;1490;1447;220;44;591;NA;260;407;28;62;NA;NA;33;95;NA;NA;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA;NA;92;331;6;NA;NA;NA;NA;NA;NA;22;NA;NA;0;NA;NA;NA;NA;NA;NA;69;NA;NA;NA;146;NA
34;2640;9134;126;11947;5398;1275;2665;2026;NA;591;4943;1656;1632;243;50;687;NA;273;503;30;63;NA;NA;35;101;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA;NA;93;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;70;NA;NA;NA;159;NA
35;2757;10023;131;12641;6520;1444;2717;2467;NA;666;5385;1771;2035;273;59;793;NA;NA;557;35;65;NA;NA;41;103;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;NA;NA;98;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;72;NA;NA;NA;NA;NA
36;2898;10779;139;13341;7574;1584;2746;2978;NA;715;6171;1874;2240;295;62;870;NA;NA;654;40;67;NA;NA;42;NA;NA;NA;NA;NA;NA;NA;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;76;NA;NA;NA;NA;NA
37;3036;11591;144;14045;8093;1810;2790;3873;NA;765;7111;2108;2523;319;71;887;NA;NA;714;45;70;NA;NA;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;3160;12428;152;14792;8926;2016;2837;4757;NA;821;7993;2255;3019;337;76;899;NA;NA;NA;50;73;NA;NA;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;3294;13155;158;15447;10343;2349;2872;5926;NA;895;8974;2403;3346;350;89;NA;NA;NA;NA;51;76;NA;NA;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;3452;13915;162;16081;10887;2607;2914;7087;NA;948;9892;2520;3600;NA;101;NA;NA;NA;NA;54;NA;NA;NA;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;3603;14681;165;16606;12228;2767;2947;8407;NA;1002;10629;2653;NA;NA;108;NA;NA;NA;NA;57;NA;NA;NA;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;3739;15362;169;17209;13215;2736;2983;9619;NA;1036;NA;2747;NA;NA;113;NA;NA;NA;NA;60;NA;NA;NA;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;3872;15887;174;NA;13851;3022;3015;10783;NA;1106;NA;NA;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;3993;16523;177;NA;14412;NA;3044;12722;NA;NA;NA;NA;NA;NA;128;NA;NA;NA;NA;NA;NA;NA;NA;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;4110;17127;183;NA;NA;NA;3072;14695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;4232;17669;186;NA;NA;NA;3100;16478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;4357;18279;192;NA;NA;NA;3123;18586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;4474;18849;200;NA;NA;NA;3139;20463;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;NA;19468;204;NA;NA;NA;3161;22020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;NA;19899;208;NA;NA;NA;3172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
